Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:17 2015
Comments: 2D 





Ascii values of u and v follow
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0 0.000896407
0.00223254 0.000941519
0.00612422 0.00108618
0.0136532 0.001396
0.029123 0.00206194
0.0611936 0.00341539
0.127601 0.00614801
0.254667 0.0114357
0.450017 0.0206553
0.661735 0.0346373
0.821205 0.0530045
0.913321 0.0743593
0.959326 0.0971666
0.980947 0.120334
0.990959 0.143275
0.995625 0.165692
0.997837 0.187472
0.998906 0.208576
0.999434 0.228999
0.9997 0.24876
0.999838 0.267862
0.99991 0.286326
0.999949 0.304172
0.999971 0.321421
0.999983 0.338094
0.99999 0.354209
0.999994 0.369786
0.999996 0.384844
0.999998 0.399399
0.999998 0.413468
0.999999 0.427068
0.999999 0.440212
1 0.452916
1 0.465188
1 0.477052
1 0.488517
1 0.499596
1 0.5103
1 0.520637
1 0.530627
1 0.540279
1 0.549599
1 0.558597
1 0.567289
1 0.57568
0.999999 0.583776
0.999999 0.591592
0.999998 0.599131
0.999996 0.606407
0.999993 0.613418
0.999988 0.620183
0.99998 0.626698
0.999967 0.632976
0.999947 0.639026
0.999917 0.644847
0.999871 0.650446
0.999803 0.655833
0.999704 0.661007
0.999563 0.665975
0.999364 0.670742
0.999089 0.675309
0.998715 0.679686
0.998215 0.683873
0.997559 0.687872
0.996712 0.691689
0.995638 0.695324
0.994299 0.698777
0.992659 0.70205
0.990688 0.705142
0.988362 0.707131
0.985632 0.709784
0.982488 0.712197
0.978929 0.714381
0.974962 0.716353
0.970612 0.718135
0.965913 0.71974
0.960911 0.721181
0.955662 0.722473
0.950233 0.723634
0.944695 0.724674
0.939124 0.725606
0.933599 0.726437
0.928198 0.727182
0.922993 0.72785
0.918055 0.728454
0.913445 0.728995
0.909218 0.729484
0.90542 0.729927
0.902085 0.730334
0.899239 0.73071
0.896899 0.731055
0.895073 0.731373
0.893759 0.731672
0.892948 0.731951
0.892626 0.732217
0.892771 0.732467
0.893359 0.732708
0.89436 0.73294
0.895743 0.733165
0.897475 0.733382
0.899523 0.733596
0.901852 0.733803
0.904428 0.734008
0.907219 0.734208
0.910192 0.734405
0.913318 0.734599
0.916568 0.734794
0.919914 0.734981
0.923331 0.735162
0.926797 0.735337
0.930288 0.735509
0.933785 0.735675
0.937268 0.735837
0.940722 0.735995
0.94413 0.736147
0.94748 0.736296
0.950759 0.736439
0.953956 0.736577
0.957062 0.73671
0.960068 0.736838
0.962968 0.736961
0.965755 0.737078
0.968425 0.737189
0.970974 0.737295
0.973398 0.737396
0.975696 0.73749
